id,image_slot,author,poem_title,category,mood,stanza,source,license
LS119,image_119,Sara Teasdale,,Love & Separation,Romantic,"In many another soul I broke the bread,
And drank the wine and played the happy guest,
But I was lonely, I remembered you;
The heart belongs to him who knew it best.",https://www.gutenberg.org/ebooks/591,Public domain / CC0 dataset
LS120,image_120,Thomas Hardy,A TIME there was—as one may guess,Love & Separation,Romantic,"None suffered sickness, love, or loss,
None knew regret, starved hope, or heart-burnings;
None cared whatever crash or cross
Brought wrack to things.",https://www.gutenberg.org/ebooks/2997,Public domain / CC0 dataset
LS121,image_121,Thomas Hardy,WHEN we as strangers sought,Love & Separation,Romantic,"And we were left alone
As Love’s own pair;
Yet never the love-light shone
Between us there!
But that which chilled the breath
Of afternoon,
And palsied unto death
The pane-fly’s tune.",https://www.gutenberg.org/ebooks/3167,Public domain / CC0 dataset
LS122,image_122,Walt Whitman,Passage to India,Love & Separation,Romantic,"Down from the gardens of Asia descending radiating,
Adam and Eve appear, then their myriad progeny after them,
Wandering, yearning, curious, with restless explorations,
With questionings, baffled, formless, feverish, with never-happy hearts,
With that sad incessant refrain, Wherefore unsatisfied soul? and
Whither O mocking life?",https://www.gutenberg.org/ebooks/1322,Public domain / CC0 dataset
LS123,image_123,William Wordsworth,"How rich the wave, in front, imprest",Love & Separation,Romantic,"Such views the youthful bard allure,
But, heedless of the following gloom,
He deems their colours shall endure
’Till peace go with him to the tomb.
--And let him nurse his fond deceit,
And what if he must die in sorrow!
Who would not cherish dreams so sweet,
Though grief and pain may come to-morrow?",https://www.gutenberg.org/ebooks/9622,Public domain / CC0 dataset
LS124,image_124,Christina Rossetti,Young Love lies sleeping,Love & Separation,Romantic,"Young Love lies dreaming
Till summer days are gone,
Dreaming and drowsing
Away to perfect sleep:
He sees the beauty
Sun hath not looked upon,
And tastes the fountain
Unutterably deep.",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
LS125,image_125,Christina Rossetti,Young Love lies sleeping,Love & Separation,Romantic,"Young Love lies dreaming
Till summer days are gone,--
Dreaming and drowsing
Away to perfect sleep:
He sees the beauty
Sun hath not looked upon,
And tastes the fountain
Unutterably deep.                                                40",https://www.gutenberg.org/ebooks/16950,Public domain / CC0 dataset
LS126,image_126,Emily Dickinson,,Love & Separation,Romantic,"You left me, sweet, two legacies, --
A legacy of love
A Heavenly Father would content,
Had He the offer of;",https://www.gutenberg.org/ebooks/2678,Public domain / CC0 dataset
LS127,image_127,Emily Dickinson,,Love & Separation,Romantic,"As by the dead we love to sit,
Become so wondrous dear,
As for the lost we grapple,
Though all the rest are here, --",https://www.gutenberg.org/ebooks/2679,Public domain / CC0 dataset
LS128,image_128,Gerard Manley Hopkins,44,Love & Separation,Romantic,"To seem the stranger lies my lot, my life
Among strangers. Father and mother dear,
Brothers and sisters are in Christ not near
And he my peace my parting, sword and strife.
England, whose honour O all my heart woos, wife
To my creating thought, would neither hear
Me, were I pleading, plead nor do I: I wear-
y of idle a being but by where wars are rife.",https://www.gutenberg.org/ebooks/22403,Public domain / CC0 dataset
LS129,image_129,Percy Bysshe Shelley,FRAGMENT: SUPPOSED TO BE AN EPITHALAMIUM OF FRANCIS RAVAILLAC,Love & Separation,Romantic,"I pondered on the woes of lost mankind,                              _5
I pondered on the ceaseless rage of Kings;
My rapt soul dwelt upon the ties that bind
The mazy volume of commingling things,
When fell and wild misrule to man stern sorrow brings.",https://www.gutenberg.org/ebooks/4800,Public domain / CC0 dataset
LS130,image_130,Robert Browning,"""CHILDE ROLAND TO THE DARK TOWER CAME""",Love & Separation,Romantic,"While some discuss if near the other graves
Be room enough for this, and when a day
Suits best for carrying the corpse away,
With care about the banners, scarves, and staves:
And still the man hears all, and only craves
He may not shame such tender love and stay.",https://www.gutenberg.org/ebooks/16376,Public domain / CC0 dataset
LS131,image_131,Robert Browning,A PRETTY WOMAN,Love & Separation,Romantic,"Then how grace a rose? I know a way!
Leave it, rather.                                                        70
Must you gather?
Smell, kiss, wear it--at last, throw away.",https://www.gutenberg.org/ebooks/16376,Public domain / CC0 dataset
LS132,image_132,Robert Browning,FEARS AND SCRUPLES,Love & Separation,Romantic,"Loved I not his letters deg. full of beauty?                                      deg.5
Not his actions famous far and wide?
Absent, he would know I vowed him duty,
Present, he would find me at his side.",https://www.gutenberg.org/ebooks/16376,Public domain / CC0 dataset
